uid,division_uid,name,acronym,vagga_ind
ea19,ea,Ekottarikāgama 19,19,False
ea20,ea,Ekottarikāgama 20,20,False
ea21,ea,Ekottarikāgama 21,21,False
ea22,ea,Ekottarikāgama 22,22,False
ea23,ea,Ekottarikāgama 23,23,False
ea24,ea,Ekottarikāgama 24,24,False
ea25,ea,Ekottarikāgama 25,25,False
ea26,ea,Ekottarikāgama 26,26,False
ea27,ea,Ekottarikāgama 27,27,False
ea28,ea,Ekottarikāgama 28,28,False
ea29,ea,Ekottarikāgama 29,29,False
ea30,ea,Ekottarikāgama 30,30,False
ea31,ea,Ekottarikāgama 31,31,False
ea32,ea,Ekottarikāgama 32,32,False
ea33,ea,Ekottarikāgama 33,33,False
ea34,ea,Ekottarikāgama 34,34,False
ea35,ea,Ekottarikāgama 35,35,False
ea36,ea,Ekottarikāgama 36,36,False
ea37,ea,Ekottarikāgama 37,37,False
ea38,ea,Ekottarikāgama 38,38,False
ea39,ea,Ekottarikāgama 39,39,False
ea40,ea,Ekottarikāgama 40,40,False
ea41,ea,Ekottarikāgama 41,41,False
ea42,ea,Ekottarikāgama 42,42,False
ea43,ea,Ekottarikāgama 43,43,False
ea44,ea,Ekottarikāgama 44,44,False
ea45,ea,Ekottarikāgama 45,45,False
ea46,ea,Ekottarikāgama 46,46,False
ea47,ea,Ekottarikāgama 47,47,False
ea48,ea,Ekottarikāgama 48,48,False
ea49,ea,Ekottarikāgama 49,49,False
ea50,ea,Ekottarikāgama 50,50,False
ea51,ea,Ekottarikāgama 51,51,False
ea52,ea,Ekottarikāgama 52,52,False
t126-149,oa,Other Ekottarika Sūtras,"126−149, 150B, 151",False
t150A,ea-2,,,False
t150B,ot,,,False
dq-nosub,dq,,,False
up-nosub,up,,,False
tib-nosub,tc,,,False
arv-nosub,arv,,,False
avs-nosub,avs,,,False
divy-nosub,divy,,,False
lal-nosub,lal,,,False
mvu-nosub,mvu,,,False
sbv-nosub,sbv,,,False
sht1,sht,"SHT i – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1965",i,False
sht2,sht,"SHT ii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1968",ii,False
sht3,sht,"SHT iii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1971",iii,False
sht4,sht,"SHT iv – ed. L. Sander, E. Waldschmidt 1980",iv,False
sht5,sht,"SHT v – ed. L. Sander, E. Waldschmidt 1985",v,False
sht6,sht,"SHT vi – ed. H. Bechert, K. Wille 1989",vi,False
sht7,sht,"SHT vii – ed. H. Bechert, K. Wille 1995",vii,False
sht8,sht,"SHT viii – ed. H. Bechert, K. Wille 2000",viii,False
sht9,sht,"SHT ix – ed. H. Bechert, K. Wille 2004",ix,False
sht10,sht,SHT x – ed. K. Wille 2008,x,False
sfg-nosub,sf,,,False
pfg-nosub,pf,,,False
gfg-nosub,gf,,,False
kfg-nosub,kf,,,False
ufg-nosub,uf,,,False
uv-nosub,uv,,,False
