sutta_uid,language,abstract,url
dn31,en,"English translation of DN 31 from Access to Insight. Translator John Kelly, Sue Sawyer, and Victoria Yareham.",http://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html
dn31,en,English translation of DN 31 from Metta Net. Translator Nārada Thera.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha3/31-sigala-e2.html
dn31,de,German translation of DN 31 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d31.htm
dn32,en,English translation of DN 32 from Access to Insight. Translator Piyadassi Thera.,http://www.accesstoinsight.org/tipitaka/dn/dn.32.0.piya.html
dn32,de,German translation of DN 32 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d32.htm
dn33,de,German translation of DN 33 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d33_01-3.htm
dn34,de,German translation of DN 34 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d34.htm
mn1,en,English translation of MN 1 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.001.than.html
mn1,en,English translation of MN 1 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Mulapariyaya_Sutta
mn1,en,English translation of MN 1 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/001-mulapariyaya-sutta-e1.html
mn1,fr,French translation of MN 1 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn001.html
mn1,de,German translation of MN 1 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m001z.html
mn1,de,German translation of MN 1 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m001n.htm
mn2,en,English translation of MN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.002.than.html
mn2,en,English translation of MN 2 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Sabbasava_Sutta
mn2,en,English translation of MN 2 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/002-sabbasava-sutta-e1.html
mn2,fr,French translation of MN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn002.html
mn2,de,German translation of MN 2 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m002z.html
mn2,de,German translation of MN 2 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m002n.htm
mn3,en,English translation of MN 3 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Dhammadayada_Sutta
mn3,en,English translation of MN 3 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/003-dhammadayada-sutta-e1.html
mn3,fr,French translation of MN 3 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn003.html
mn3,de,German translation of MN 3 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m003z.html
