sutta_uid,language,abstract,url
dn12,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn12/pi
dn12,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn12/vn
dn12,en,English translation of DN 12 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.12.0.than.html
dn12,en,English translation of DN 12 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/12-lohicca-e.html
dn12,de,German translation of DN 12 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d12.htm
dn13,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn13/pi
dn13,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn13/vn
dn13,en,English translation of DN 13 from leighb.com. Translator Leigh Brasington.,http://www.leighb.com/dn13.htm
dn13,en,English translation of DN 13 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/13-tevijja-e.html
dn13,de,German translation of DN 13 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d13.htm
dn14,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn14/pi
dn14,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn14/vn
dn14,de,German translation of DN 14 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d14_1.htm
dn15,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn15/pi
dn15,en,Translated by Bhikkhu Bodhi,/dn15/en
dn15,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn15/vn
dn15,en,English translation of DN 15 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.15.0.than.html
dn15,en,English translation of DN 15 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha2/15-mahanidana-e2.html
dn15,de,German translation of DN 15 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d15.htm
dn16,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn16/pi
dn16,en,Translation by Ānandajoti Bhikkhu,/dn16/en
dn16,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn16/vn
dn16,en,English translation of DN 16 from Access to Insight. Translator Sister Vajira & Francis Story.,http://www.accesstoinsight.org/tipitaka/dn/dn.16.1-6.vaji.html
dn16,en,English translation of DN 16 (excerpt) from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.16.5-6.than.html
dn16,fr,French translation of DN 16 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn16.html
dn16,de,German translation of DN 16 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d16_1.htm
dn17,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn17/pi
dn17,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn17/vn
dn17,de,German translation of DN 17 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d17.htm
dn18,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn18/pi
dn18,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn18/vn
dn18,de,German translation of DN 18 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d18.htm
dn19,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn19/pi
dn19,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn19/vn
